Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,88.072998,88.671997,88.028000,88.046997,88.046997,0
2023-11-03,88.291000,89.185997,88.288002,88.293999,88.293999,0
2023-11-06,87.610802,89.410004,87.610802,89.109001,89.109001,0
2023-11-07,89.129997,89.129997,88.726997,89.122002,89.122002,0
2023-11-08,88.930000,89.094002,88.684998,88.949997,88.949997,0
2023-11-09,89.072998,89.220001,88.894997,89.050003,89.050003,0
2023-11-10,88.731003,89.037003,88.717003,88.737999,88.737999,0
2023-11-13,87.935204,89.066002,87.935204,87.935204,87.935204,0
2023-11-14,88.931000,90.028000,88.829002,88.940002,88.940002,0
2023-11-15,90.166000,90.359001,90.014000,90.166000,90.166000,0
2023-11-16,90.125999,90.572998,89.995003,90.125999,90.125999,0
2023-11-17,92.009003,92.009003,90.067001,90.130997,90.130997,0
2023-11-20,89.473198,91.143997,89.473198,89.473198,89.473198,0
2023-11-21,91.117996,91.322998,90.882004,91.117996,91.117996,0
2023-11-22,90.825996,90.903000,90.365997,90.825996,90.825996,0
2023-11-23,90.893997,90.978996,90.497002,90.883003,90.883003,0
2023-11-24,90.803001,91.150002,90.721001,90.803001,90.803001,0
2023-11-27,89.983299,91.308998,89.983299,91.098000,91.098000,0
2023-11-28,91.195999,91.651001,91.084000,91.195999,91.195999,0
2023-11-29,91.563004,91.730003,91.268997,91.563004,91.563004,0
2023-11-30,91.208000,91.459999,90.786003,91.213997,91.213997,0
2023-12-01,90.682999,90.879997,90.167999,90.651001,90.651001,0
2023-12-04,89.747002,90.788002,89.747002,89.747002,89.747002,0
2023-12-05,90.321999,90.364998,89.807999,90.302002,90.302002,0
2023-12-06,89.860001,89.947998,89.716003,89.862000,89.862000,0
2023-12-07,89.555000,89.906998,89.545998,89.667000,89.667000,0
2023-12-08,89.879997,89.954002,89.472000,89.872002,89.872002,0
2023-12-11,88.909500,89.950500,88.909500,88.909500,88.909500,0
2023-12-12,89.629997,90.121002,89.625999,89.629997,89.629997,0
2023-12-13,89.963997,90.033997,89.796997,89.968002,89.968002,0
2023-12-14,90.570000,91.570000,90.544998,90.556999,90.556999,0
2023-12-15,91.487999,91.581001,90.433998,91.487000,91.487000,0
2023-12-18,90.041397,90.782997,90.041397,90.041397,90.041397,0
2023-12-19,90.670998,91.213997,90.650002,90.674004,90.674004,0
2023-12-20,91.141998,91.196999,90.896004,91.149002,91.149002,0
2023-12-21,90.959000,91.477997,90.924004,90.959000,90.959000,0
2023-12-22,91.323997,91.685997,91.323997,91.317001,91.317001,0
2023-12-25,90.670197,91.514999,90.670197,90.670197,90.670197,0
2023-12-26,90.670197,91.514999,90.670197,90.670197,90.670197,0
2023-12-27,90.670197,92.522003,90.670197,90.670197,90.670197,0
2023-12-28,92.415001,92.578003,92.008003,92.415001,92.415001,0
2023-12-29,91.954002,92.123001,91.846001,91.897003,91.897003,0
2024-01-01,91.141998,91.141998,91.141998,91.790001,91.790001,0
2024-01-02,91.141998,91.911003,91.060997,91.141998,91.141998,0
2024-01-03,91.061996,91.309998,90.725998,91.057999,91.057999,0
2024-01-04,90.894997,91.226997,90.860001,90.980003,90.980003,0
2024-01-05,91.046997,91.291000,90.455002,91.036003,91.036003,0
2024-01-08,89.755699,91.084000,89.755699,89.755699,89.755699,0
2024-01-09,90.859001,91.002998,90.621002,90.858002,90.858002,0
2024-01-10,90.844002,90.988998,90.667999,90.803001,90.803001,0
2024-01-11,91.027000,91.150002,90.732002,91.041000,91.041000,0
2024-01-12,91.158997,91.189003,90.620003,91.143997,91.143997,0
2024-01-15,89.785103,90.717003,89.785103,90.663002,90.663002,0
2024-01-16,90.638000,90.640999,90.218002,90.648003,90.648003,0
2024-01-17,90.313004,90.412003,90.144997,90.313004,90.313004,0
2024-01-18,90.348999,90.589996,90.151001,90.442001,90.442001,0
2024-01-19,90.404999,90.473999,90.251999,90.386002,90.386002,0
2024-01-22,89.437202,90.602997,89.437202,89.437202,89.437202,0
2024-01-23,90.306999,90.612999,89.893997,90.306000,90.306000,0
2024-01-24,90.277000,90.738998,90.166000,90.282997,90.282997,0
2024-01-25,90.333000,90.511002,89.890999,90.346001,90.346001,0
2024-01-26,90.091003,90.370003,89.824997,90.099998,90.099998,0
2024-01-29,89.306000,90.115997,89.306000,90.124001,90.124001,0
